Data,IdCampagna,Impressions,Clicks,Conversions,Costo,ConversionValue,Budget,Ora
2017-06-03 00:00:00.000,122,114,9,0,11.31,0.00,NULL,24
2017-06-04 00:00:00.000,122,149,12,0,17.78,0.00,NULL,24
2017-06-05 00:00:00.000,122,357,21,0,30.29,0.00,NULL,24
2017-06-06 00:00:00.000,122,387,22,0,31.06,0.00,NULL,24
2017-06-07 00:00:00.000,122,334,25,0,27.16,0.00,500.00,24
2017-06-08 00:00:00.000,122,331,16,0,25.96,0.00,500.00,24
2017-06-09 00:00:00.000,122,258,16,0,14.04,0.00,500.00,24
2017-06-10 00:00:00.000,122,140,11,0,10.49,0.00,NULL,24
2017-06-11 00:00:00.000,122,161,6,0,5.19,0.00,NULL,24
2017-06-12 00:00:00.000,122,312,14,0,14.62,0.00,500.00,24
2017-06-13 00:00:00.000,122,337,17,0,19.20,0.00,500.00,24
2017-06-14 00:00:00.000,122,351,13,0,13.60,0.00,500.00,24
2017-06-15 00:00:00.000,122,395,25,0,35.71,0.00,500.00,24
2017-06-16 00:00:00.000,122,263,10,0,9.52,0.00,500.00,24
2017-06-17 00:00:00.000,122,229,18,0,24.98,0.00,NULL,24
2017-06-18 00:00:00.000,122,191,13,0,12.36,0.00,NULL,24
2017-06-19 00:00:00.000,122,380,25,0,30.32,0.00,NULL,24
2017-06-20 00:00:00.000,122,393,29,0,39.42,0.00,500.00,24
2017-06-21 00:00:00.000,122,302,16,0,22.05,0.00,500.00,24
2017-06-22 00:00:00.000,122,416,22,0,35.57,0.00,NULL,24
2017-06-23 00:00:00.000,122,199,8,0,7.63,0.00,500.00,24
2017-06-24 00:00:00.000,122,128,8,0,6.49,0.00,NULL,24
2017-06-25 00:00:00.000,122,121,10,0,12.76,0.00,500.00,24
2017-06-26 00:00:00.000,122,332,8,0,9.55,0.00,NULL,24
2017-06-27 00:00:00.000,122,333,14,0,19.79,0.00,500.00,24
2017-06-03 00:00:00.000,127,14,2,0,2.67,0.00,NULL,24
2017-06-04 00:00:00.000,127,8,0,0,0.00,0.00,NULL,24
2017-06-05 00:00:00.000,127,36,0,0,0.00,0.00,NULL,24
2017-06-06 00:00:00.000,127,27,2,0,2.07,0.00,NULL,24
2017-06-07 00:00:00.000,127,19,2,0,1.77,0.00,500.00,24
2017-06-08 00:00:00.000,127,33,0,0,0.00,0.00,500.00,24
2017-06-09 00:00:00.000,127,17,0,0,0.00,0.00,500.00,24
2017-06-10 00:00:00.000,127,12,0,0,0.00,0.00,NULL,24
2017-06-11 00:00:00.000,127,14,1,0,0.32,0.00,NULL,24
2017-06-12 00:00:00.000,127,17,0,0,0.00,0.00,500.00,24
2017-06-13 00:00:00.000,127,29,0,0,0.00,0.00,500.00,24
2017-06-14 00:00:00.000,127,20,1,0,1.45,0.00,500.00,24
2017-06-15 00:00:00.000,127,19,0,0,0.00,0.00,NULL,24
2017-06-16 00:00:00.000,127,23,0,0,0.00,0.00,500.00,24
2017-06-17 00:00:00.000,127,6,0,0,0.00,0.00,500.00,24
2017-06-18 00:00:00.000,127,12,0,0,0.00,0.00,NULL,24
2017-06-19 00:00:00.000,127,26,1,0,1.60,0.00,NULL,24
2017-06-20 00:00:00.000,127,24,0,0,0.00,0.00,500.00,24
2017-06-21 00:00:00.000,127,21,0,0,0.00,0.00,500.00,24
2017-06-22 00:00:00.000,127,28,0,0,0.00,0.00,500.00,24
2017-06-23 00:00:00.000,127,27,0,0,0.00,0.00,500.00,24
2017-06-24 00:00:00.000,127,15,0,0,0.00,0.00,NULL,24
2017-06-25 00:00:00.000,127,7,0,0,0.00,0.00,500.00,24
2017-06-26 00:00:00.000,127,21,0,0,0.00,0.00,NULL,24
2017-06-27 00:00:00.000,127,15,0,0,0.00,0.00,500.00,24
2017-06-03 00:00:00.000,128,263,61,1,69.12,0.00,NULL,24
2017-06-04 00:00:00.000,128,191,40,1,66.65,0.00,NULL,24
2017-06-05 00:00:00.000,128,522,123,1,196.25,1.00,NULL,24
2017-06-06 00:00:00.000,128,481,91,0,132.20,0.00,NULL,24
2017-06-07 00:00:00.000,128,537,117,1,178.49,1.00,1000.00,24
2017-06-08 00:00:00.000,128,503,136,1,206.17,0.00,1000.00,24
2017-06-09 00:00:00.000,128,386,66,1,104.01,1.00,1000.00,24
2017-06-10 00:00:00.000,128,208,47,0,64.56,0.00,NULL,24
2017-06-11 00:00:00.000,128,216,42,0,61.87,0.00,NULL,24
2017-06-12 00:00:00.000,128,631,139,2,181.91,2.00,1000.00,24
2017-06-13 00:00:00.000,128,555,100,0,148.71,0.00,1000.00,24
2017-06-14 00:00:00.000,128,665,133,3,177.33,0.00,1000.00,24
2017-06-15 00:00:00.000,128,657,124,0,205.49,0.00,1000.00,24
2017-06-16 00:00:00.000,128,487,107,0,190.11,0.00,1000.00,24
2017-06-17 00:00:00.000,128,303,51,0,76.14,0.00,1000.00,24
2017-06-18 00:00:00.000,128,278,51,1,92.87,1.00,NULL,24
2017-06-19 00:00:00.000,128,679,120,2,202.26,1.00,NULL,24
2017-06-20 00:00:00.000,128,677,115,3,206.19,1.00,1000.00,24
2017-06-21 00:00:00.000,128,643,103,0,167.57,0.00,1000.00,24
2017-06-22 00:00:00.000,128,630,122,2,211.15,0.00,1000.00,24
2017-06-23 00:00:00.000,128,534,78,0,136.39,0.00,1000.00,24
2017-06-24 00:00:00.000,128,349,80,0,136.78,0.00,NULL,24
2017-06-25 00:00:00.000,128,303,42,0,82.43,0.00,1000.00,24
2017-06-26 00:00:00.000,128,662,107,1,180.36,0.00,NULL,24
2017-06-27 00:00:00.000,128,566,91,0,135.72,0.00,1000.00,24
